ID,SKU,Product Name,Category,Price (TL),URL
93,CETA.H01-12-040,CETA FORM H01-12-040 Düz Uçlu Elektronikçi Tornavida 1.2x40 mm,Düz Uçlu Tornavidalar,"82,68",https://www.nalburcuk.com/urun/ceta-form-h01-12-040-duz-uclu-elektronikci-tornavida-1-2x40-mm
94,CETA.G85-ADC1,CETA FORM G85-ADC1 Dijital Pens Ampermetre (AC/DC Akım),Pens Ampermetre,"4.828,20",https://www.nalburcuk.com/urun/ceta-form-g85-adc1-dijital-pens-ampermetre-ac-dc-akim
95,CETA.G80-MDC1,CETA FORM G80-MDC1 Dijital Multimetre (Dc Manuel Sınıflama),Multimetre,"867,36",https://www.nalburcuk.com/urun/ceta-form-g80-mdc1-dijital-multimetre-dc-manuel-siniflama
96,CETA.G80-AAC1,CETA FORM G80-AAC1 Dijital Multimetre (Ac/Dc Akım Otomatik),Multimetre,"2.308,80",https://www.nalburcuk.com/urun/ceta-form-g80-aac1-dijital-multimetre-ac-dc-akim-otomatik
97,CETA.G99-18-W12PZ,Ceta Form G99-18-W12PZ İzoleli VDE Pense-Tornavida Seti 12 Parça,Pense Takımları,"5.506,80",https://www.nalburcuk.com/urun/ceta-form-g99-18-w12pz-1000v-izoleli-pense-tornavida-seti-12-parca
98,CETA.G99-18-W12PH,Ceta Form G99-18-W12PH İzoleli VDE Pense-Tornavida Seti 12 Parça,Pense Takımları,"5.506,80",https://www.nalburcuk.com/urun/ceta-form-g99-18-w12ph-izoleli-vde-1000v-pense-tornavida-seti-12-parca
99,CETA.G99-18-W09PZ,CETA FORM G99-18-W09PZ 1000V İzoleli Pense-Tornavida Seti 9 Parça,Pense Takımları,"3.790,80",https://www.nalburcuk.com/urun/ceta-form-g99-18-w09pz-1000v-izoleli-pense-tornavida-seti-9-parca
100,CETA.G99-18-W09PH,CETA FORM G99-18-W09PH 1000V İzoleli Pense-Tornavida Seti 9 Parça,Pense Takımları,"3.790,80",https://www.nalburcuk.com/urun/ceta-form-g99-18-w09ph-1000v-izoleli-pense-tornavida-seti-9-parca
101,CETA.G99-18-05PZ,CETA FORM G99-18-05PZ 1000V İzoleli Pense-Tornavida Takımı 5 Parça,Pense Takımları,"2.141,88",https://www.nalburcuk.com/urun/ceta-form-g99-18-05pz-1000v-izoleli-pense-tornavida-takimi-5-parca
102,CETA.G99-18-05PH,CETA FORM G99-18-05PH 5 Parça VDE 1000V İzoleli Elektrikçi Pense-Tornavida Seti,Pense Takımları,"2.141,88",https://www.nalburcuk.com/urun/ceta-form-g99-18-05ph-5-parca-vde-1000v-izoleli-elektrikci-pense-tornavida-seti
103,CETA.G99-18-03A,CETA FORM G99-18-03A 3 Parça VDE 1000V İzoleli Elektrikçi Pense Takımı,Pense Takımları,"2.422,68",https://www.nalburcuk.com/urun/ceta-form-g99-18-03a-3-parca-vde-1000v-izoleli-elektrikci-pense-takimi
104,CETA.G40-48-0145,CETA FORM G40-48-0145 Çok Amaçlı Elektrikçi Makası 145 mm,Çok Amaçlı Makaslar,"496,08",https://www.nalburcuk.com/urun/ceta-form-g40-48-0145-cok-amacli-elektrikci-makasi-145-mm
105,CETA.G99-18-02A,CETA FORM G99-18-02A 1000V İzoleli Pense Takımı 2 Parça,Pense Takımları,"1.642,68",https://www.nalburcuk.com/urun/ceta-form-g99-18-02a-1000v-izoleli-pense-takimi-2-parca
106,CETA.G30-48-0160,CETA FORM G30-48-0160 1000V İzoleli Kablo Kesici 160 mm,Kablo Kesme Sıyırma,"819,00",https://www.nalburcuk.com/urun/ceta-form-g30-48-0160-1000v-izoleli-kablo-kesici-160-mm
107,CETA.G25-58-0250,Ceta Form G25-58-0250 1000V İzoleli Papağan Pense 250 mm (VDE),Papağan/Fort Penseler,"1.031,94",https://www.nalburcuk.com/urun/ceta-form-g25-58-0250-1000v-izoleli-papagan-pense-250-mm
108,CETA.G30-58-0170,CETA FORM G30-58-0170 1000V İzoleli Rzr Kablo Kesici 170 mm,Kablo Kesme Sıyırma,"867,36",https://www.nalburcuk.com/urun/ceta-form-g30-58-0170-1000v-izoleli-rzr-kablo-kesici-170-mm
109,CETA.G20-18-0160,CETA FORM G20-18-0160 1000V İzoleli Kablo Sıyırma Pensesi 160 mm,Kablo Kesme Sıyırma,"986,70",https://www.nalburcuk.com/urun/ceta-form-g20-18-0160-1000v-izoleli-kablo-siyirma-pensesi-160-mm
110,CETA.G18-18-0160,CETA FORM G18-18-0160 1000V İzoleli Yuvarlak Kargaburun 160 mm,Kargaburunlar,"764,40",https://www.nalburcuk.com/urun/ceta-form-g18-18-0160-1000v-izoleli-yuvarlak-kargaburun-160-mm
111,CETA.G17-18-0160,CETA FORM G17-18-0160 1000V İzoleli Yassı Kargaburun 160 mm,Kargaburunlar,"748,02",https://www.nalburcuk.com/urun/ceta-form-g17-18-0160-1000v-izoleli-yassi-kargaburun-160-mm
112,CETA.G16-18-0200,CETA FORM G16-18-0200 1000V İzoleli Eğri Kargaburun 200 mm,Kargaburunlar,"932,88",https://www.nalburcuk.com/urun/ceta-form-g16-18-0200-1000v-izoleli-egri-kargaburun-200-mm
113,CETA.G16-18-0160,CETA FORM G16-18-0160 1000V İzoleli Eğri Kargaburun 160 mm,Kargaburunlar,"815,10",https://www.nalburcuk.com/urun/ceta-form-g16-18-0160-1000v-izoleli-egri-kargaburun-160-mm
114,CETA.G15-18-0200,CETA FORM G15-18-0200 1000V İzoleli Kargaburun 200 mm,Kargaburunlar,"888,42",https://www.nalburcuk.com/urun/ceta-form-g15-18-0200-1000v-izoleli-kargaburun-200-mm
115,CETA.G15-18-0160,CETA FORM G15-18-0160 1000V İzoleli Kargaburun 160 mm,Kargaburunlar,"780,00",https://www.nalburcuk.com/urun/ceta-form-g15-18-0160-1000v-izoleli-kargaburun-160-mm
116,CETA.G14-18-0200,CETA FORM G14-18-0200 1000V İzoleli Power Yan Keski 200 mm,Yankeskiler,"1.230,84",https://www.nalburcuk.com/urun/ceta-form-g14-18-0200-1000v-izoleli-power-yan-keski-200-mm
