item_name,price,tarih,kategori,para_birimi,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Itır Baharat Çiğ Köfte Harcı 385 Gr,59.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Nane 200 Gr,125.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Kekik 150 Gr,218.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat İsot 500 Gr,182.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Tatlı Biber 500 Gr,182.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Pul Biber 500 Gr,182.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Kimyon 500 Gr,167.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Karabiber 500 Gr,519.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Ülker Bizim Mutfak Pane Harcı 90 Gr,58.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Ülker Bizim Mutfak Köfte Harcı 100 Gr,60.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kristal Dolgun Güçlü Sızma Zeytinyağı Cam 1 Lt,598.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Mgs İkili Sarma Küp Şeker 750 Gr,79.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,5.333333333333334,
Komili Sızma Zeytinyağı 2 Lt Pet,1107.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Heinz Ketçap 1 Kg,170.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
