product_name,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Avokado Yağı Yüz & Vücut Spreyi,699.95,05,0.0,0.0,0.0,
Axel Akrilik 6 Bölmeli Kahvaltılık 25x35 cm Şeffaf,3999.99,05,0.0,0.0,0.0,
Axel Akrilik Mini Süzgeç 15 cm Antrasit,999.99,05,0.0,0.0,0.0,
Axel Akrilik Mini Süzgeç 15 cm Şeffaf,999.99,05,0.0,0.0,0.0,
Axel Akrilik Süzgeç,1149.99,05,0.0,0.0,0.0,
Axel Akrilik Süzgeç Antrasit,1199.99,05,0.0,0.0,0.0,
Azalia New Bone China 4 Parça 2 Kişilik Kahve Fincan Takımı 90 ml Renkli,5999.99,05,0.0,0.0,0.0,
Azul Paslanmaz Çelik Çatal Kaşık Bıçak Takımı 18 Parça 6 Kişilik Gold,11999.99,05,0.0,0.0,0.0,
Azul Paslanmaz Çelik Çatal Kaşık Bıçak Takımı 18 Parça 6 Kişilik Silver,1599.99,05,0.0,0.0,-84.000084000084,
Azule Baskılı Pamuklu Tek Kişilik Pike 150x220 cm Mavi,639.99,05,0.0,0.0,-84.00021000052502,
Azule Baskılı Pamuklu Çift Kişilik Pike 200x220 cm Mavi,799.99,05,0.0,0.0,-84.000168000336,
Azure Bliss Çubuklu Oda Kokusu 100 ml,1499.99,05,0.0,0.0,0.0,
Azure Bloom Emaye Bakraç 16 cm Lacivert,479.99,05,0.0,0.0,-84.00028000093334,
Azure Bloom Emaye Cezve 10 cm Beyaz,439.99,05,0.0,0.0,-84.0003054556562,
Azure Bloom Emaye Cezve 10 cm Lacivert,439.99,05,0.0,0.0,-84.0003054556562,
Azure Halı 100x200 cm Gri,7999.99,05,0.0,0.0,0.0,
Azure Halı 160x230 cm Gri,17499.99,05,0.0,0.0,0.0,
"Azure Yılbaşı Kar Küresi 15,5 cm Kırmızı",4749.99,05,0.0,0.0,0.0,
Baby Dog Bebe Pelüş Dekoratif Kırlent 38x25 cm Beyaz,559.99,05,0.0,0.0,-84.00024000068572,
Baby Koala Sıcak Su Torbası 750 ml Gri,2249.99,05,0.0,0.0,0.0,
Baela Vazo Gri,3499.99,05,0.0,,,
Bake&Serve Cam Fırın Kabı Kırmızı,319.99,05,0.0,0.0,-84.0004200021,
Bake&Serve Cam Fırın Kabı Şeffaf,359.99,05,0.0,0.0,-84.00037333499259,
Bakers Choice Karbon Çelik Kek Kalıbı Kırmızı,3499.99,05,0.0,0.0,0.0,
"Baker’s Choice Flower Karbon Çelik Kek Kalıbı 26 x 6,8 cm Kırmızı",439.99,05,0.0,0.0,-84.0003054556562,
"Baker’s Choice Karbon Çelik Fırın Kabı 24 x 32 x 4,7cm Kırmızı",2499.99,05,0.0,0.0,0.0,
