District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Tarsus / Bahçe,5+1,30000.0,04,0.0,0.0,,
Tarsus / Beydeğirmeni,1+1,17600.0,04,0.0,-3.825136612021858,,-7.368421052631578
Tarsus / Beydeğirmeni,2+1,21042.85714285714,04,2.4339360222531297,3.0390175656769687,,-12.254955052528972
Tarsus / Beydeğirmeni,2.5+1,19000.0,04,0.0,0.0,,-9.523809523809524
Tarsus / Beydeğirmeni,3+1,22785.714285714286,04,4.044357469015006,4.521625163827001,,3.0509691313711516
Tarsus / Caminur,2+1,19715.384615384617,04,1.6733383821991452,1.4355616320069182,,-16.201997384377595
Tarsus / Caminur,3+1,23586.363636363636,04,-44.60585896147106,-41.42632533763354,,-57.444540123836475
Tarsus / Caminur,4+1,26500.0,04,0.0,-7.017543859649122,,29.268292682926827
Tarsus / Eskiömerli,1+1,21000.0,04,0.0,16.666666666666664,,-17.647058823529413
Tarsus / Eskiömerli,2+1,20500.0,04,-70.85308056872037,-78.97435897435898,,-87.94117647058823
Tarsus / Eskiömerli,3+1,21000.0,04,0.0,0.0,,-2.3255813953488373
Tarsus / Eskiömerli,4+1,35000.0,04,0.0,0.0,,
Tarsus / Gülek,Stüdyo (1+0),11000.0,04,0.0,0.0,,0.0
Tarsus / Karacailyas,3+1,27200.0,04,0.0,7.016393442622945,,17.894736842105257
Tarsus / Kavaklı,1+1,27000.0,04,8.0,17.391304347826086,,31.70731707317073
Tarsus / Kavaklı,2+1,20750.0,04,0.0,6.41025641025641,,26.717557251908396
Tarsus / Kavaklı,3+1,20486.666666666668,04,0.5304357985746109,2.17788861180383,,-51.38427464008859
Tarsus / Kavaklı,4+1,23500.0,04,-82.24181360201511,-82.24181360201511,,-93.28571428571428
Tarsus / Köyler,1+1,19900.0,04,-4.479999999999994,-4.326923076923077,,2.8044280442804346
Tarsus / Köyler,2+1,22666.666666666668,04,-72.35772357723576,-1.4492753623188355,,
Tarsus / Köyler,3+1,26000.0,04,0.0,22.35294117647059,,
Tarsus / Köyler,4+1,30000.0,04,0.0,0.0,,0.0
Tarsus / Kızılmurat,3+1,20000.0,04,0.0,0.0,,0.0
Toroslar,1+1,18000.0,04,-81.34715025906736,-81.34715025906736,,
Toroslar,2+1,14307.692307692309,04,-73.76151356733881,-73.37451970164996,,-71.4723926380368
Toroslar,3+1,17909.090909090908,04,-75.8980458793543,-71.30240815769108,,-66.81794787816403
Toroslar,4+1,32000.0,04,-84.9624060150376,-83.28981723237598,,-75.69620253164557
Toroslar,5+1,35000.0,04,0.0,0.0,,
Toroslar,5+2,30000.0,04,0.0,0.0,,0.0
Toroslar / Akbelen,1+1,14250.0,04,-10.9375,5.555555555555555,,
Toroslar / Akbelen,2+1,16739.583333333332,04,-0.8636644046884782,2.7657873701039093,,0.7880671902268744
Toroslar / Akbelen,3+0,25000.0,04,0.0,0.0,,0.0
Toroslar / Akbelen,3+1,19673.91304347826,04,-1.742091496816859,0.6338263093517139,,-58.39202892420637
Toroslar / Akbelen,4+1,25000.0,04,0.0,,,
Toroslar / Alsancak,1+1,15700.0,04,0.0,-16.48936170212766,,-20.304568527918782
Toroslar / Alsancak,2+1,21722.222222222223,04,-6.235011990407677,-23.054798667877684,,-22.14257268020709
Toroslar / Alsancak,3+1,25500.0,04,-44.62540716612378,-46.6996699669967,,-70.31431897555296
Toroslar / Alsancak,3.5+1,20000.0,04,-28.57142857142857,-28.57142857142857,,-47.368421052631575
