City,District,Rooms,Price
Ankara_Altindag,HasköyDoğantepe Mh.,2+1,17000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,23000.0
Ankara_Altindag,AltındağÖrnek Mh.,2+1,17000.0
Ankara_Altindag,AltındağZübeyde Hanım Mh.,3+1,25000.0
Ankara_Altindag,HasköyYıldıztepe Mh.,4+1,35000.0
Ankara_Altindag,AltındağGültepe Mh.,2+1,21500.0
Ankara_Altindag,HasköyGüneşevler Mh.,4+1,40000.0
Ankara_Altindag,HisarKale Mah.,Stüdyo (1+0),12000.0
Ankara_Altindag,Ulus/İsmetpaşaHacı Bayram Mh.,Stüdyo (1+0),12500.0
Ankara_Altindag,AltındağHacettepe Mah.,Stüdyo (1+0),12000.0
