ProductName,Total_Period_Change_%,2026-03_Change_%,2026-04_Change_%
%4 + 30ML AHA+BHA AHA+BHA] CILT ETKILI GARNIER KARŞITI KUSURLARI PEELING SERUM [NIASINAMID,-44.62,-51.12872597184616,13.327545651274253
%40 225G BISKÜVI GULLON MOMENT ÇIKOLATALI,0.0,0.0,0.0
%40 50.4G DAHA FAZLA METRO ÜLKER,0.0,0.0,0.0
%40 FINDIK KAKAO... PARÇACIKLI TK,0.0,0.0,0.0
%45 60G BITTER ETI KAKAOLU KARAM KARE ÇIKOLATA,4.55,4.549590536851689,0.0
%45 60G BITTER ETI KARAM KARE,8.11,-19.691119691119674,34.615384615384585
%45 60GR BITTER ETI KAKAOLU KARAM,0.0,0.0,0.0
%45 60GR ETI KAKAOLU KARAM ÇIK.KARE,0.0,0.0,0.0
%48KG FINDIKKREMASI GÜRSOY KROKANTLI SÜTLÜ,0.0,0.0,0.0
%5 180ML ASIT ETKILI GLIKOLIK L'ORÉAL PARIS PEELING REVITALIFT SAF TONIK,4.81,0.0,4.808129410365991
%50 %50 4CM BARIS DERI DERI KEMER PU,0.0,0.0,0.0
%50 (SIVRISINEKLERE 2 2.SI 90 ELEKRO GECE KARŞI) LIKIT RAID YEDEK İNDIRIMLI,30.56,-4.440892098500626e-14,30.56370587712285
%50 100/200 1000G DONUK GLAZE KARIDES KOCAMAN,0.0,0.0,0.0
%50 1000G DONUK GLAZE HALKA KALAMAR KOCAMAN,0.0,0.0,0.0
%50 150G BISKREM BISKÜVI BOY BÜYÜK FAZLA RULO ÜLKER,13.71,2.511111111111064,10.92564491654029
%50 150G BISKREM DAHA FAZLA ÜLKER,13.97,2.703533026113658,10.968192242496766
%50 2.SI DETAN ELEKTROLIKIT INDIRIMLI YEDEK,31.44,18.862532152043386,10.57946621784085
