Category,Product Name,Price,Date
Akülü Vidalamalar,Klpro Klav60266 500watt Profesyonel Alçı Panel Tornavidası,2810.16,2026.05.14
Akülü Vidalamalar,X-line 76 Parça Profesyonel Aksesuar Seti 2608p00234,4237.5,2026.05.14
Akülü Vidalamalar,Alçıpan Vidalama Dwe,1867.0,2026.05.14
Akülü Vidalamalar,13mm Bse Vidalama,1621.0,2026.05.14
Akülü Vidalamalar,4140 20v Lion Şarjlı Matkap/akülü Vidalama (2 Akülü),5454.15,2026.05.14
Akülü Vidalamalar,Tp-cd 18/60 Li-i  Bl - Solo Akülü Darbeli Vidalama - 4514205,4025.0,2026.05.14
Akülü Vidalamalar,Pt-21905 Köşe Delme Vidalama Aparatı Mandren 10mm 3/8&#034;,665.46,2026.05.14
Akülü Vidalamalar,Professional Gsh 500 Kırıcı,24747.0,2026.05.14
Akülü Vidalamalar,Impact Ctrl Vidalama Çifttaraf 8li Set 110mm,737.1,2026.05.14
Akülü Vidalamalar,Üçlü Set Mk800 2b1ş (ş.spral+s.sikma+ş.hi̇lti̇),6616.0,2026.05.14
Akülü Vidalamalar,Gsb 18v-110 C 2x4.0ah Darbeli Vidalama,32375.0,2026.05.14
Akülü Vidalamalar,Atbl 16 Id-202c 2x2.0 Ah Çift Akülü Kömürsüz Darbeli Vidalama 16v - A0104084,3216.8,2026.05.14
Akülü Vidalamalar,Tech Akülü Vidalama Dt04d,15524.0,2026.05.14
Akülü Vidalamalar,16’li Set – Atbl 16 Id-202c Kömürsüz Darbeli Vidalama + Atbl 16 Pd-202c 16v Kömürsüz Darbeli Matkap 2x2.0ah Çift Akülü - A0,4847.93,2026.05.14
Akülü Vidalamalar,Tech Akülü Vidalama Dt03d,11715.0,2026.05.14
Akülü Vidalamalar,Ennalbur M6 Çektirme ( 4 Adet ),213.75,2026.05.14
Akülü Vidalamalar,Voltz  60 Nm 20 Volt Çift Akülü 5 Amper Profesyonel Akülü Matkap Vidalama,9999.99,2026.05.14
Akülü Vidalamalar,Einhell Tc Bj 900 Yassı Dübel Frezesi 860 Watt,5706.46,2026.05.14
Akülü Vidalamalar,İzeltaş 1114065016 M16  1/2&#034; Lokmalı ( Ribe ) Bits Uç,779.02,2026.05.14
Akülü Vidalamalar,Catpower 3501 Dik Freze 8-12 Mm Pens,8341.85,2026.05.14
Akülü Vidalamalar,Ennalbur M8 Çektirme ( 4 Adet ),284.19,2026.05.14
Akülü Vidalamalar,Ennalbur M12 Çektirme ( 2 Adet ),352.95,2026.05.14
Akülü Vidalamalar,Ennalbur M16 Çektirme ( 2 Adet ),581.08,2026.05.14
Akülü Vidalamalar,Ennalbur M20 Çektirme ( 2 Adet ),998.77,2026.05.14
Akülü Vidalamalar,Ennalbur M0 Çektirme ( 2 Adet ),223.37,2026.05.14
Akülü Vidalamalar,İzeltaş Pz1 50mm Pozi̇dri̇v Bi̇ts Uç,102.8,2026.05.14
Akülü Vidalamalar,Tp-cd 18 Li-i Bl - Solo Akülü Darbeli Vidalama - 4513860,4488.0,2026.05.14
Akülü Vidalamalar,Te-cd 18/40 Li Bl-solo Akülü Vidalama,3048.0,2026.05.14
Akülü Vidalamalar,Şarjlı Darbeli Matlap Kldm18-50 18volt/5.0ah Çift Akü Li-ion,9407.5,2026.05.14
Akülü Vidalamalar,Tech  Akülü Vidalama Dt02d,8995.0,2026.05.14
Akülü Vidalamalar,Kl Pro Klha403 1/2&#039;&#039; Profesyonel Havalı Darbeli Somun Sıkma/sökme,2010.95,2026.05.14
Akülü Vidalamalar,Tech Akülü Vidalama Dt01d,6818.0,2026.05.14
Akülü Vidalamalar,Ennalbur M14 Çektirme ( 2 Adet ),437.32,2026.05.14
Akülü Vidalamalar,1360 16 V Li-ion 2.0 Ah Kömürsüz Akülü Vidalama,4935.69,2026.05.14
Akülü Vidalamalar,İzeltaş 14mm T Kol Lokma Uçlu Tornavi̇da,546.92,2026.05.14
Akülü Vidalamalar,İzeltaş 4x80 Kraft Seri̇ Düz Uçlu Tornavi̇da,182.0,2026.05.14
Akülü Vidalamalar,İzeltaş 6.5x25 Kraft Seri̇ Düz Uçlu Topaç Tornavi̇da,197.4,2026.05.14
Akülü Vidalamalar,İzeltaş 3.5x60 T10 Elektroni̇kçi̇ Torx Uçlu Klemens Tornavi̇da,196.3,2026.05.14
Akülü Vidalamalar,İzeltaş 8x175 Kraft Seri̇ Düz Uçlu Tornavi̇da,383.4,2026.05.14
Akülü Vidalamalar,Cat Power 1560 Kömürsüz Makine Seti 6 Parça,22771.07,2026.05.14
Akülü Vidalamalar,İzeltaş 3x60 T7 Elektroni̇kçi̇ Torx Uçlu Klemens Tornavi̇da,196.3,2026.05.14
Akülü Vidalamalar,İzeltaş 4x150 Elektroni̇kçi̇ Düz Uçlu Klemens Tornavi̇da,271.2,2026.05.14
Akülü Vidalamalar,İzeltaş 2.5x60 T6 Elektroni̇kçi̇ Torx Uçlu Klemens Tornavi̇da,191.9,2026.05.14
Akülü Vidalamalar,İzeltaş 3x40 Kraft Seri̇ Düz Uçlu Tornavi̇da,165.5,2026.05.14
Akülü Vidalamalar,Atbl 21 2&#039;li̇ Kömürsüz Set Akülü Matkap + Taşlama - A0104099,5298.46,2026.05.14
Akülü Vidalamalar,Atb 21 Blpdx-202c  2 X 2.0 Ah Çift Akülü Kömürsüz Darbeli Matkap - A0104098,2756.78,2026.05.14
Akülü Vidalamalar,Impact Çift Taraflı Vidalama Ucu Pz2150mm3lü,534.49,2026.05.14
Akülü Vidalamalar,Rtrmax Rtx2026b 18v Kömürsüz Akülü Alçipan Vi̇dalama,4287.87,2026.05.14
Akülü Vidalamalar,Rtrmax Alçıpan Vidalama Matkabı Rtm3110,2557.14,2026.05.14
Akülü Vidalamalar,Rtrmax Rts5020b Akülü Torklu Vi̇dalama Kömürsüz 200nm S-lion *aküsüz Satilmaktadir*,2858.18,2026.05.14
